link,square_meters,rooms,metro_station,minutes_to_metro,renovation_type,price,price_per_meter
https://www.cian.ru/sale/flat/314011317/,39,1,,,,23990000,615128
https://www.cian.ru/sale/flat/315043092/,41.88,1,Бунинская аллея,20,Дизайнерский ремонт,11700000,279370
https://www.cian.ru/sale/flat/315334101/,46.8,1,Говорово,7,,17200000,367521
https://www.cian.ru/sale/flat/314697951/,37.1,1,Лефортово,3,,13900000,374663
https://www.cian.ru/sale/flat/315000463/,38.2,1,Красногвардейская,4,,11900000,311518
https://www.cian.ru/sale/flat/315033392/,49.3,1,Улица 1905 года,13,Дизайнерский ремонт,34900000,707911
https://www.cian.ru/sale/flat/312413221/,41,1,Аминьевская,7,Дизайнерский ремонт,25690000,626585
https://www.cian.ru/sale/flat/315905083/,41,1,Улица Сергея Эйзенштейна,10,Косметический ремонт,12200000,297561
https://www.cian.ru/sale/flat/315154789/,43,1,Раменки,6,,29990000,697442
https://www.cian.ru/sale/flat/314478960/,37.1,1,Спартак,14,,22400000,603774
https://www.cian.ru/sale/flat/311591659/,41.7,1,Улица Старокачаловская,10,Косметический ремонт,12250000,293765
https://www.cian.ru/sale/flat/313939217/,37,1,Комсомольская,11,,20500000,554054
https://www.cian.ru/sale/flat/313165411/,33,1,Тульская,12,,16700000,506061
https://www.cian.ru/sale/flat/314337062/,32.2,1,Шипиловская,2,,12870000,399689
https://www.cian.ru/sale/flat/308929598/,41.5,1,Октябрьское поле,18,,24490000,590120
https://www.cian.ru/sale/flat/314794150/,32.6,1,Отрадное,17,,9500000,291411
https://www.cian.ru/sale/flat/313436330/,37.6,1,Потапово,7,,13600000,361702
https://www.cian.ru/sale/flat/315356269/,31,1,Аминьевская,7,Дизайнерский ремонт,18450000,595161
https://www.cian.ru/sale/flat/315642397/,45.1,1,Технопарк,5,,23800000,527716
https://www.cian.ru/sale/flat/313991733/,37.2,1,Строгино,11,,13200000,354839
https://www.cian.ru/sale/flat/314179885/,29.6,1,м. Преображенская площадь,,Косметический ремонт,10000000,337838
https://www.cian.ru/sale/flat/314286109/,41.1,1,Нижегородская,8,,14500000,352798
https://www.cian.ru/sale/flat/311235885/,37.2,1,Маяковская,5,,22900000,615591
https://www.cian.ru/sale/flat/313257638/,40.4,1,Аэропорт,13,,34000000,841584
https://www.cian.ru/sale/flat/314702076/,41,1,Динамо,7,Дизайнерский ремонт,22600000,551220
https://www.cian.ru/sale/flat/315608417/,21,1,Ольховая,16,,6490000,309048
https://www.cian.ru/sale/flat/315406192/,42,1,Динамо,5,Дизайнерский ремонт,33500000,797619
https://www.cian.ru/sale/flat/315468849/,47,1,Спартак,6,,22800000,485106
https://www.cian.ru/sale/flat/314953225/,41,1,Перово,18,,12770000,311463
https://www.cian.ru/sale/flat/312214839/,43.6,1,Москва-Сити,16,,22500000,516055
https://www.cian.ru/sale/flat/313582240/,42.6,1,,,Косметический ремонт,17400000,408451
https://www.cian.ru/sale/flat/315468039/,37.1,1,Селигерская,10,,15850000,427224
https://www.cian.ru/sale/flat/311077298/,34.8,1,Отрадное,13,,12700000,364943
https://www.cian.ru/sale/flat/301704043/,32.9,1,Юго-Восточная,5,Косметический ремонт,9200000,279635
https://www.cian.ru/sale/flat/312434350/,33.1,1,Проспект Мира,6,,15500000,468278
https://www.cian.ru/sale/flat/315775604/,36.8,1,Селигерская,10,,14500000,394022
https://www.cian.ru/sale/flat/315932666/,43,1,Площадь Ильича,6,Дизайнерский ремонт,28950000,673256
https://www.cian.ru/sale/flat/314675382/,42.8,1,Щёлковская,5,,16000000,373832
https://www.cian.ru/sale/flat/315115790/,38.5,1,Рязанский проспект,2,,10990000,285455
https://www.cian.ru/sale/flat/314934246/,38,1,Новые Черёмушки,16,,14000000,368421
https://www.cian.ru/sale/flat/315020798/,42.5,1,Филатов Луг,10,,10250000,241176
https://www.cian.ru/sale/flat/315956515/,36.3,1,Народное Ополчение,8,Евроремонт,19990000,550689
